"","word","sentiment","n"
"1","death","anticipation",95
"2","god","anticipation",67
"3","time","anticipation",54
"4","white","anticipation",53
"5","good","anticipation",46
"6","hope","anticipation",38
"7","happen","anticipation",32
"8","deserve","anticipation",23
"9","long","anticipation",23
"10","wait","anticipation",23
"11","thought","anticipation",21
"12","watch","anticipation",20
"13","start","anticipation",19
"14","peace","anticipation",18
"15","sentence","anticipation",16
"16","young","anticipation",16
"17","bless","anticipation",15
"18","money","anticipation",14
"19","coming","anticipation",13
"20","alive","anticipation",12
"21","arrive","anticipation",12
"22","mother","anticipation",11
"23","pray","anticipation",11
"24","public","anticipation",11
"25","torture","anticipation",11
"26","hunting","anticipation",10
"27","brilliant","anticipation",9
"28","bye","anticipation",9
"29","deal","anticipation",9
"30","fun","anticipation",9
"31","happy","anticipation",9
"32","pretty","anticipation",9
"33","respect","anticipation",9
"34","child","anticipation",7
"35","court","anticipation",7
"36","share","anticipation",7
"37","concealed","anticipation",6
"38","plan","anticipation",6
"39","feeling","anticipation",5
"40","prepared","anticipation",5
"41","sex","anticipation",5
"42","top","anticipation",5
"43","wont","anticipation",5
"44","youth","anticipation",5
"45","birthday","anticipation",4
"46","clue","anticipation",4
"47","enjoy","anticipation",4
"48","expect","anticipation",4
"49","finally","anticipation",4
"50","hero","anticipation",4
"51","highest","anticipation",4
"52","improve","anticipation",4
"53","ready","anticipation",4
"54","risk","anticipation",4
"55","calls","anticipation",3
"56","continue","anticipation",3
"57","devil","anticipation",3
"58","glad","anticipation",3
"59","grow","anticipation",3
"60","luck","anticipation",3
"61","pay","anticipation",3
"62","perfect","anticipation",3
"63","punished","anticipation",3
"64","scare","anticipation",3
"65","seek","anticipation",3
"66","store","anticipation",3
"67","sweet","anticipation",3
"68","worry","anticipation",3
"69","airport","anticipation",2
"70","award","anticipation",2
"71","begun","anticipation",2
"72","clown","anticipation",2
"73","contagion","anticipation",2
"74","daily","anticipation",2
"75","dare","anticipation",2
"76","enroll","anticipation",2
"77","epidemic","anticipation",2
"78","escape","anticipation",2
"79","failing","anticipation",2
"80","friendly","anticipation",2
"81","happiness","anticipation",2
"82","immediately","anticipation",2
"83","jeopardy","anticipation",2
"84","neighborhood","anticipation",2
"85","network","anticipation",2
"86","peaceful","anticipation",2
"87","possess","anticipation",2
"88","revenge","anticipation",2
"89","saint","anticipation",2
"90","theory","anticipation",2
"91","tomorrow","anticipation",2
"92","acquiring","anticipation",1
"93","angel","anticipation",1
"94","attempt","anticipation",1
"95","beware","anticipation",1
"96","birth","anticipation",1
"97","blessing","anticipation",1
"98","blessings","anticipation",1
"99","board","anticipation",1
"100","buddy","anticipation",1
"101","competition","anticipation",1
"102","countdown","anticipation",1
"103","cue","anticipation",1
"104","defense","anticipation",1
"105","denying","anticipation",1
"106","destination","anticipation",1
"107","eager","anticipation",1
"108","efficient","anticipation",1
"109","entertaining","anticipation",1
"110","expecting","anticipation",1
"111","faith","anticipation",1
"112","fate","anticipation",1
"113","football","anticipation",1
"114","glory","anticipation",1
"115","grasping","anticipation",1
"116","hire","anticipation",1
"117","independence","anticipation",1
"118","intended","anticipation",1
"119","investigation","anticipation",1
"120","judicial","anticipation",1
"121","labor","anticipation",1
"122","lesson","anticipation",1
"123","lover","anticipation",1
"124","mail","anticipation",1
"125","medal","anticipation",1
"126","medical","anticipation",1
"127","mobile","anticipation",1
"128","musical","anticipation",1
"129","mysterious","anticipation",1
"130","neutral","anticipation",1
"131","ongoing","anticipation",1
"132","opponent","anticipation",1
"133","organization","anticipation",1
"134","overthrow","anticipation",1
"135","paralysis","anticipation",1
"136","parole","anticipation",1
"137","poke","anticipation",1
"138","powerful","anticipation",1
"139","precious","anticipation",1
"140","pry","anticipation",1
"141","quote","anticipation",1
"142","recreation","anticipation",1
"143","result","anticipation",1
"144","revolution","anticipation",1
"145","secular","anticipation",1
"146","star","anticipation",1
"147","sun","anticipation",1
"148","treat","anticipation",1
"149","virginity","anticipation",1
"150","vote","anticipation",1
"151","warn","anticipation",1
"152","winning","anticipation",1
"153","worship","anticipation",1
